* ******************************************************************************

* iCEcube Pin Table

* Version:            2020.12.27943

* Build Date:         Dec  9 2020 17:31:51

* File Generated:     Oct 31 2024 19:51:08

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX4K
Package, TQ144

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
1, PIO, not used, , , , , , leftBank
2, PIO, leds[10], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
3, PIO, not used, , , , , , leftBank
4, PIO, not used, , , , , , leftBank
5, GND, not used, , , , , , UnknownBank
6, VCCIO_3, not used, , , , , , leftBank
7, PIO, leds[13], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
8, PIO, not used, , , , , , leftBank
9, PIO, not used, , , , , , leftBank
10, PIO, leds[12], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
11, PIO, not used, , , , , , leftBank
12, PIO, leds[9], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
13, GND, not used, , , , , , UnknownBank
14, GND, not used, , , , , , UnknownBank
15, PIO, not used, , , , , , leftBank
16, PIO, leds[8], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
17, PIO, not used, , , , , , leftBank
18, PIO, not used, , , , , , leftBank
19, PIO, leds[3], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
20, PIO_GBIN, not used, , , , , , leftBank
21, PIO_GBIN, not used, , , , , , leftBank
22, PIO, leds[2], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
23, PIO, not used, , , , , , leftBank
24, PIO, not used, , , , , , leftBank
25, PIO, not used, , , , , , leftBank
26, PIO, leds[7], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
27, VCC, not used, , , , , , UnknownBank
28, PIO, not used, , , , , , leftBank
29, PIO, leds[6], Output, , SB_LVCMOS, No Pull Up, Simple Output, leftBank
30, VCCIO_3, not used, , , , , , leftBank
31, PIO, reset, Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
32, PIO, not used, , , , , , leftBank
33, PIO, not used, , , , , , leftBank
